Filename,Duration_sec,Frame_Count
M1_53974_54022.mp4,1.92,48
M2_88679_88964.mp4,11.4,285
M1_36037_36429.mp4,15.68,392
M1_23281_23369.mp4,3.52,88
M1_81619_81801.mp4,7.28,182
M2_32264_32821.mp4,22.28,557
M2_27292_27873.mp4,23.24,581
M1_68468_68679.mp4,8.44,211
M2_04677_04756.mp4,3.16,79
M2_18887_19061.mp4,6.96,174
M2_51142_51411.mp4,10.76,269
M2_44119_44394.mp4,11.0,275
M2_68459_68719.mp4,10.4,260
M2_31903_32252.mp4,13.96,349
M2_26717_27272.mp4,22.2,555
M2_79895_80111.mp4,8.64,216
M2_81609_81746.mp4,5.48,137
M1_79924_80227.mp4,12.12,303
M1_12946_13096.mp4,6.0,150
M1_16299_16568.mp4,10.76,269
M1_37910_38177.mp4,10.68,267
M1_60986_61672.mp4,27.44,686
M1_52738_52889.mp4,6.04,151
M1_11588_11776.mp4,7.52,188
M2_28304_28719.mp4,16.6,415
M2_34697_34885.mp4,7.52,188
M1_60986_61300.mp4,12.56,314
M1_55172_55420.mp4,9.92,248
M1_10669_10880.mp4,8.44,211
M1_68683_68901.mp4,8.72,218
M1_30284_30653.mp4,14.76,369
M2_02393_02596.mp4,8.12,203
M1_61820_61929.mp4,4.36,109
M2_15432_15950.mp4,20.72,518
M1_68915_69233.mp4,12.72,318
M1_71212_71665.mp4,18.12,453
M2_18633_18855.mp4,8.88,222
M2_05582_05691.mp4,4.36,109
M1_62512_62607.mp4,3.8,95
M1_83239_83343.mp4,4.16,104
M1_78597_78777.mp4,7.2,180
M1_74461_75005.mp4,21.76,544
M2_71969_72220.mp4,10.04,251
M1_73139_73295.mp4,6.24,156
M2_46310_46661.mp4,14.04,351
M1_01266_01366.mp4,4.0,100
M1_70377_70462.mp4,3.4,85
M2_17725_17931.mp4,8.24,206
M2_35073_35344.mp4,10.84,271
M1_01073_01254.mp4,7.24,181
M2_44243_44354.mp4,4.44,111
M1_63762_64025.mp4,10.52,263
M1_63217_63294.mp4,3.08,77
M2_25024_25474.mp4,18.0,450
M1_72652_72809.mp4,6.28,157
M1_66909_67133.mp4,8.96,224
M1_06471_06937.mp4,18.64,466
M1_51611_51916.mp4,12.2,305
M1_71672_72080.mp4,16.32,408
M1_35269_35504.mp4,9.4,235
M2_34174_34334.mp4,6.4,160
M2_89887_90035.mp4,5.92,148
M2_31627_31875.mp4,9.92,248
M1_11266_11426.mp4,6.4,160
M1_17945_18263.mp4,12.72,318
M2_11681_11924.mp4,9.72,243
M2_83839_84193.mp4,14.16,354
M2_15930_16085.mp4,6.2,155
M1_66228_66569.mp4,13.64,341
M1_12205_12534.mp4,13.16,329
M2_19070_19427.mp4,14.28,357
M2_70006_70292.mp4,11.44,286
M2_21469_21778.mp4,12.36,309
M2_41650_41950.mp4,12.0,300
M1_20414_20642.mp4,9.12,228
M1_62350_62462.mp4,4.48,112
M1_53287_53515.mp4,9.12,228
M2_12889_13492.mp4,24.12,603
M2_38535_38848.mp4,12.52,313
M1_69242_69462.mp4,8.8,220
M2_79895_79995.mp4,4.0,100
M2_01805_02105.mp4,11.76,294
M1_20093_20312.mp4,8.76,219
M1_86744_87561.mp4,32.68,817
M2_04104_04241.mp4,5.48,137
M1_19604_20089.mp4,19.12,478
M1_65422_65708.mp4,11.44,286
M1_57982_58100.mp4,4.72,118
M1_69471_69573.mp4,4.08,102
M1_10288_10510.mp4,8.88,222
M2_19815_20027.mp4,8.48,212
M2_51642_51785.mp4,5.72,143
M1_07646_07904.mp4,10.32,258
M1_54750_54812.mp4,2.48,62
M1_04452_04767.mp4,12.6,315
M2_57702_57860.mp4,6.32,158
M1_32403_32460.mp4,2.28,57
M2_40311_40514.mp4,8.12,203
M1_77644_77743.mp4,3.96,99
M1_65990_66222.mp4,9.28,232
M1_52919_53286.mp4,14.68,367
M1_40937_41167.mp4,9.2,230
M1_56671_56964.mp4,11.72,293
M1_58383_58493.mp4,4.4,110
M2_87436_87659.mp4,8.92,223
M2_39426_39532.mp4,4.24,106
M1_09156_09438.mp4,11.28,282
M2_56518_56738.mp4,8.8,220
M1_08422_08504.mp4,3.28,82
M2_33360_33608.mp4,9.92,248
M2_86585_87208.mp4,24.92,623
M2_51483_51645.mp4,6.48,162
M1_58201_58320.mp4,4.76,119
M2_57482_57697.mp4,8.6,215
M1_25828_26231.mp4,16.12,403
M1_34180_34441.mp4,10.44,261
M2_17107_17257.mp4,6.0,150
M1_76705_76991.mp4,11.44,286
M2_30149_30440.mp4,11.64,291
M1_64580_64825.mp4,9.8,245
M2_08521_08685.mp4,6.56,164
M2_02150_02405.mp4,10.2,255
M1_13146_13329.mp4,7.32,183
M1_58537_58642.mp4,4.2,105
M1_60788_60859.mp4,2.84,71
M2_50830_51121.mp4,11.64,291
M1_11896_12038.mp4,5.68,142
M2_12254_12377.mp4,4.92,123
M1_49631_49691.mp4,2.4,60
M2_12569_12772.mp4,8.12,203
M1_78333_78583.mp4,10.0,250
M2_09188_09315.mp4,5.08,127
M2_82526_83020.mp4,19.76,494
M2_90487_90578.mp4,3.64,91
M1_76621_76702.mp4,3.24,81
M1_77276_77373.mp4,3.88,97
M2_44962_45383.mp4,16.84,421
M1_83468_84088.mp4,24.8,620
M1_44589_44835.mp4,9.84,246
M1_82921_83003.mp4,3.28,82
M1_23983_24614.mp4,25.24,631
M2_16796_17028.mp4,9.28,232
M2_54536_54947.mp4,16.44,411
M1_84927_85499.mp4,22.88,572
M2_08082_08159.mp4,3.08,77
M1_80235_80453.mp4,8.72,218
M1_56275_56352.mp4,3.08,77
M2_14690_14802.mp4,4.48,112
M2_03126_03194.mp4,2.72,68
M2_00840_01009.mp4,6.76,169
M2_29447_29783.mp4,13.44,336
M2_34339_34685.mp4,13.84,346
M1_45038_45162.mp4,4.96,124
M2_01117_01293.mp4,7.04,176
M1_80821_80959.mp4,5.52,138
M2_35496_35601.mp4,4.2,105
M1_69580_69838.mp4,10.32,258
M1_62615_62847.mp4,9.28,232
M1_62116_62314.mp4,7.92,198
M2_83572_83854.mp4,11.28,282
M1_29338_30241.mp4,36.12,903
M2_69759_70024.mp4,10.6,265
M2_36445_36690.mp4,9.8,245
M2_22025_22278.mp4,10.12,253
M1_05750_05983.mp4,9.32,233
M2_82036_82231.mp4,7.8,195
M2_05840_06030.mp4,7.6,190
M1_02398_02606.mp4,8.32,208
M1_74317_74460.mp4,5.72,143
M1_54093_54198.mp4,4.2,105
M2_81767_81941.mp4,6.96,174
M1_56157_56276.mp4,4.76,119
M2_73274_73535.mp4,10.44,261
M2_11158_11663.mp4,20.2,505
M2_18073_18191.mp4,4.72,118
M2_10399_10812.mp4,16.52,413
M1_33262_33279.mp4,0.68,17
M1_05990_06439.mp4,17.96,449
M1_64131_64191.mp4,2.4,60
M2_05261_05380.mp4,4.76,119
M1_75161_75251.mp4,3.6,90
M1_16990_17526.mp4,21.44,536
M1_63512_63760.mp4,9.92,248
M2_16165_16440.mp4,11.0,275
M2_55970_56275.mp4,12.2,305
M1_13576_13804.mp4,9.12,228
M2_39273_39547.mp4,10.96,274
M2_34907_35125.mp4,8.72,218
M1_22054_22341.mp4,11.48,287
M1_73020_73119.mp4,3.96,99
M2_52772_53143.mp4,14.84,371
M1_28883_28991.mp4,4.32,108
M1_15067_15289.mp4,8.88,222
M2_68737_68853.mp4,4.64,116
M2_39996_40304.mp4,12.32,308
M2_43454_43789.mp4,12.64,316
M1_78782_79046.mp4,10.56,264
M1_65999_66222.mp4,8.92,223
M2_42934_43100.mp4,6.64,166
M1_22352_23228.mp4,35.04,876
M2_71587_71959.mp4,14.88,372
M1_25709_25802.mp4,3.72,93
M2_07919_08187.mp4,10.72,268
M2_39769_39984.mp4,8.6,215
M1_24874_25141.mp4,10.68,267
M2_30978_31233.mp4,10.2,255
M1_17547_17754.mp4,13.28,332
M1_61452_61592.mp4,5.6,140
M1_50338_50665.mp4,13.08,327
M2_09507_09916.mp4,16.36,409
M2_55123_55939.mp4,32.64,816
M2_21776_21979.mp4,8.12,203
M2_43300_43472.mp4,6.88,172
M2_49257_49447.mp4,7.6,190
M1_05129_05500.mp4,14.84,371
M1_27663_28709.mp4,41.84,1046
M2_21208_21333.mp4,5.0,125
M1_80456_80577.mp4,4.84,121
M1_21584_21730.mp4,5.84,146
M1_65723_65984.mp4,10.44,261
M1_50172_50289.mp4,4.68,117
M2_46810_47127.mp4,12.68,317
M1_18271_19062.mp4,31.64,791
M1_53883_53951.mp4,2.72,68
M2_20723_21031.mp4,12.32,308
M1_72084_72434.mp4,14.0,350
M2_06855_06939.mp4,3.36,84
M2_57119_57396.mp4,11.08,277
M1_49841_50038.mp4,7.88,197
M1_86425_86624.mp4,7.96,199
M2_51642_52179.mp4,21.48,537
M1_01397_01563.mp4,6.64,166
M2_19469_19816.mp4,13.88,347
M1_12740_12887.mp4,5.88,147
M2_07145_07290.mp4,5.8,145
M1_25246_25369.mp4,4.92,123
M2_01640_02105.mp4,18.6,465
M1_33773_33869.mp4,3.84,96
M2_51642_52554.mp4,36.48,912
M1_21163_21523.mp4,14.4,360
M2_55003_55311.mp4,12.32,308
M1_72815_73017.mp4,8.08,202
M1_19092_19532.mp4,17.6,440
