Filename,Gloss_x,Description,Comment,modified,Gloss_y,Signwriting
A.mp4,A,,,a,a,M529x514S15d0a476x495S15d52471x486S20700511x490
A.mp4,A,,,a,a,M510x507S1f720490x492
A-2.mp4,A (tohåndsalfabet),,,a,a,M529x514S15d0a476x495S15d52471x486S20700511x490
A-2.mp4,A (tohåndsalfabet),,,a,a,M510x507S1f720490x492
abonnere.mp4,abonnere,Gammel,,abonnere,abonnere,M525x523S15d39481x500S1f751475x477S22f04500x480S20b00506x496
abonnere.mp4,abonnere,Gammel,,abonnere,abonnere,M529x588S33b00482x483S10010487x512S20b00514x567S22e04512x548S15a3a488x576S1001c487x553
abonnere.mp4,abonnere,Gammel,,abonnere,abonnere,M537x582S15a16486x570S10010492x510S2c300511x535S20b00495x551S34c00482x483
abort.mp4,abort,,,abort,abort,M521x549S15213489x523S18238478x482S36d00479x452S20312494x492S22a04495x512
abort.mp4,abort,,,abort,abort,M535x542S36d00479x480S18218478x489S17110493x498S28805497x522S17113521x519S36d00479x459
abort.mp4,abort,,,abort,abort,M550x536S14c02484x505S36d00481x465S26507531x498S20300535x477S36d00478x532S20e00519x508
absolutt-1.mp4,absolutt 1,,,absolutt,absolutt,M518x517S20300488x482S20304483x502S20b00505x496
absolutt-1.mp4,absolutt 1,,,absolutt,absolutt,M517x516S20310488x484S20308483x501S20b00504x498
absolutt-1.mp4,absolutt 1,,,absolutt,absolutt,M513x530S15a36486x518S15a40491x470S20b00491x501
absolutt-1.mp4,absolutt 1,,,absolutt,absolutt,M514x538S15a36487x526S15a40495x495S20b00495x479S22a04495x462
absolutt-1.mp4,absolutt 1,,,absolutt,absolutt,M514x531S15a16487x516S15a40494x504S20b00494x487S22a04493x469
absolutt-2.mp4,absolutt 2,,,absolutt,absolutt,M518x517S20300488x482S20304483x502S20b00505x496
absolutt-2.mp4,absolutt 2,,,absolutt,absolutt,M517x516S20310488x484S20308483x501S20b00504x498
absolutt-2.mp4,absolutt 2,,,absolutt,absolutt,M513x530S15a36486x518S15a40491x470S20b00491x501
absolutt-2.mp4,absolutt 2,,,absolutt,absolutt,M514x538S15a36487x526S15a40495x495S20b00495x479S22a04495x462
absolutt-2.mp4,absolutt 2,,,absolutt,absolutt,M514x531S15a16487x516S15a40494x504S20b00494x487S22a04493x469
abstrakt.mp4,abstrakt,,,abstrakt,abstrakt,M550x517S2ff00482x482S2e507504x479S14411521x459
abstrakt.mp4,abstrakt,,,abstrakt,abstrakt,M598x538S30007482x483S10012518x486S26506554x487S14c20575x473S2e100575x509
abstrakt.mp4,abstrakt,,,abstrakt,abstrakt,M544x518S30007482x483S14c00510x454S2df0c523x492
addisjon.mp4,addisjon,,,addisjon,addisjon,M515x515S10018492x485S10012485x490
addisjon.mp4,addisjon,,,addisjon,addisjon,M518x522S10018488x479S10012481x484S26500504x507
addisjon.mp4,addisjon,,,addisjon,addisjon,M515x520S10018492x490S10012485x495S20500498x480
adel.mp4,adel,,,adel,adel,M577x518S36d00479x482S20e00503x499S15d40524x491S28808549x494S28808565x494
adferd-atferd.mp4,adferd/atferd,,,adferd,adferd,M533x533S15a40485x468S15a48467x468S22b24474x503S22b24517x503S2892a491x495
adferd-atferd.mp4,adferd/atferd,,,adferd,adferd,M535x535S15a40491x465S15a48466x465S22b24475x505S22b24519x505S2882a495x506
adferd-atferd.mp4,adferd/atferd,,,adferd,adferd,M541x539S15a40478x461S15a48460x461S22b24468x507S22b24525x509S2892a490x495
adgang.mp4,adgang,,,adgang,adgang,M542x534S26600520x466S26610464x468S15d48459x507S15d40523x503
adgang.mp4,adgang,,,adgang,adgang,M513x536S10050497x506S26500492x486S18219488x464
adgang.mp4,adgang,,,adgang,adgang,M540x522S15a1a483x479S3770b461x485S2c600487x496S10013510x492
adgang.mp4,adgang,,,adgang,adgang,M524x519S18218476x482S10051494x491S26501483x506
adgang.mp4,adgang,,,adgang,adgang,M515x535S10050500x505S26500494x484S18219485x465
adgang.mp4,adgang,,,adgang,adgang,M540x522S15a1a482x479S3770b460x484S2c600487x496S10013510x492
adgang.mp4,adgang,,,adgang,adgang,M524x518S18218477x483S10051494x494S26501486x505
