Filename,Gloss_x,Description,Comment,modified,Gloss_y,Signwriting
,,,,# forklaring,# forklaring,M523x534S14c0a477x476S14c02492x510S22b04481x477S20e00484x466S22622484x508
0.mp4,0,,,0,0 (number),M508x508S17610492x492
1.mp4,1,,,1,1,M507x521S10000492x479S2f900493x516
1-000-m.mp4,1 000 m,,,1 000 m,,
,,,,1 2 3  etasje,1 2 3  etasje,M539x566S10e02463x497S22c06497x444S10002464x551S11e02460x435S22c06497x497S22c06497x550
1-500-m.mp4,1 500 m,,,1 500 m,,
,,,,1 etasje  etasje  etasje,1 etasje 2 etasje 3 etasje,M533x566S10e02469x496S26606502x494S10002470x550S11e02466x434S26606503x550S26606499x442S22c01492x520S22c01490x464
,,,,1 krone,1 krone,M518x518S10054486x449S26504491x428S31200482x483
,,,,1 til,1 til 14,M553x526S1f502447x492S20500454x478S10001465x494S26606492x491S14450531x473S22e04531x508
1aar.mp4,1 år gammel (alder),"Dette er et flermorfemisk tegn som uttrykker to ting samtidig, ""alder"" og ""antall år"" (Kilde: Se mitt språk, 1996).",,1 år gammel,,
,,,,1.,1.,M511x525S10000491x476S2f304489x515
1-akse.mp4,1. akse,,,1. akse,,
1etasje.mp4,1. etasje,"Dette er et flermorfemisk tegn som uttrykker to ting samtidig, ""1."" og ""etasje"" (Kilde: Se mitt språk, 1996).",,1. etasje,,
1-grads-funksjon.mp4,1. grads funksjon,,,1. grads funksjon,,
1-grads-likning.mp4,1. grads likning,,,1. grads likning,,
foerstegradsforbrenning.mp4,1. gradsforbrenning,,,1. gradsforbrenning,,
1-omgang.mp4,1. omgang,,,1. omgang,,
1-plass-1.mp4,1. plass 1,,,1. plass,,
1-plass-2.mp4,1. plass 2,,,1. plass,,
1-server.mp4,1. server,,,1. server,,
10.mp4,10,,,10,10,M528x514S10002472x499S22e03509x486
10.mp4,10,,,10,10,M525x515S14c08474x484S14c00502x484
10.mp4,10,,,10,10,M515x517S10002485x502S21600486x486S26506498x483
10.mp4,10,,,10,10,M527x510S26506512x496S21600472x491S10602484x491
10.mp4,10,,,10,10,M527x509S10002473x492S22e04510x491
10-000-m.mp4,10 000 m,,,10 000 m,,
10-km.mp4,10 km,,,10 km,,
100.mp4,100,,,100,100,M508x539S10000492x460S17610492x504S22a04493x524
100.mp4,100,,,100,100,M508x523S10050492x493S26500494x477
100-m.mp4,100 m,,,100 m,,
,,,,1000,1000,M529x516S10000471x485S17610513x500S26506490x501
,,,,1000,1000,M529x516S10000471x484S17610513x500S26506492x500
,,,,1000 000,1000 000,M525x524S10000475x494S17610509x508S22b00509x476
,,,,1000 000,1000 000,M543x533S36d00479x522S29904525x501S14c20520x467
,,,,1000 000,1000 000,M509x557S10000491x444S17610493x541S22b00493x508
,,,,1000 000 000,1000 000 000,M527x524S10000474x493S17610507x508S24b08505x476
,,,,1000 000 000,1000 000 000,M511x561S10000492x440S17610490x545S24b08489x515
11.mp4,11,,,11,11,M511x532S1f540492x468S2a308488x496
11.mp4,11,,,11,11,M508x527S10050492x472S22e04491x509
11-meter.mp4,11-meter,,,11 meter,,
,,,,11.,11.,M508x531S10050492x468S22e04491x505S2f900494x526
110-m-hekk.mp4,110 m hekk,,,110 m hekk,,
12.mp4,12,,,12,12,M508x526S10e50493x474S22e04491x508
12.mp4,12,,,12,12,M526x515S1dc01503x485S1eb41473x496
12.mp4,12,,,12,12,M520x519S21b00512x489S1dc41489x489S21b00480x481
12.mp4,12,,,12,12,M558x551S1dc10512x509S34900482x483S2c301532x528
,,,,12.,12.,M508x530S10e50493x471S22e04491x505S2f900494x525
120-meter.mp4,120 meter,,,120 meter,,
13.mp4,13,,,13,13,M509x528S18650491x473S22e04491x510
13.mp4,13,,,13,13,M512x526S11e50488x475S22e04495x508
14.mp4,14,,,14,14,M511x527S14450489x473S22e04489x509
15.mp4,15,,,15,15,M512x528S14c50488x473S22e04492x510
15.mp4,15,,,15,15,M513x526S14c50489x475S22f04488x512
15-km.mp4,15 km,,,15 km,,
16.mp4,16,,,16,16,M508x524S1f540491x476S22e04491x506
16.mp4,16,,,16,16,M515x518S1f550485x482S22f04490x504
16-meter.mp4,16-meter,,,16 meter,,
16-9-format.mp4,16:9 (format),,,16:9,,
17.mp4,17,,,17,17,M513x526S1dc50488x474S22e04496x508
17.mp4,17,,,17,17,M515x524S1dc50486x476S22f04490x510
17-mai-1.mp4,17. mai 1,,,17. mai,,
17-mai-2.mp4,17. mai 2,,,17. mai,,
18.mp4,18,,,18,18,M518x576S11e50487x525S22e04494x558S34c00482x483
18.mp4,18,,,18,18,M511x527S11e50488x474S22e04494x509
18.mp4,18,,,18,18,M533x526S11e50509x475S22e04516x508S14c58467x479
19.mp4,19,,,19,19,M519x529S14410481x471S2a204496x501
19.mp4,19,,,19,19,M546x574S14410508x516S2a204523x546S33200482x482
19.mp4,19,,,19,19,M513x525S18e50488x476S22f04488x511
2.mp4,2,,,2,2,M507x515S10e00492x485
,,,,2 etasje,2 etasje,M531x509S10e02468x494S26606501x492
,,,,2 kroner,2 kroner,M518x518S31200482x483S10e54492x451S26504492x431
2aar.mp4,2 år gammel (alder),"Dette er et flermorfemisk tegn som uttrykker to ting samtidig, ""alder"" og ""antall år"" (Kilde: Se mitt språk, 1996).",,2 år gammel,2 år gammel,M526x530S10e00511x500S2ff00482x482S21100502x486S22a04502x501
2aar.mp4,2 år gammel (alder),"Dette er et flermorfemisk tegn som uttrykker to ting samtidig, ""alder"" og ""antall år"" (Kilde: Se mitt språk, 1996).",,2 år gammel,2 år gammel,M535x536S22a04522x521S2ff00482x483S21100521x503S11500498x503
2aar.mp4,2 år gammel (alder),"Dette er et flermorfemisk tegn som uttrykker to ting samtidig, ""alder"" og ""antall år"" (Kilde: Se mitt språk, 1996).",,2 år gammel,2 år gammel,M539x531S22a04526x516S2ff00482x482S21100525x497S10e00506x500
,,,,2.,2.,M511x523S2f304489x513S10e00492x477
2-akse.mp4,2. akse,,,2. akse,,
2etasje.mp4,2. etasje,"Dette er et flermorfemisk tegn som uttrykker to ting samtidig, ""2."" og ""etasje"" (Kilde: Se mitt språk, 1996).",,2. etasje,,
2-grads-funksjon.mp4,2. grads funksjon,,,2. grads funksjon,,
2-grads-likning.mp4,2. grads likning,,,2. grads likning,2. grads likning,M531x564S10058469x518S10050489x517S20600474x553S1e140481x475S23103510x480S11500483x436S2e505505x441
andregradsforbrenning.mp4,2. gradsforbrenning,,,2. gradsforbrenning,,
2-omgang.mp4,2. omgang,,,2. omgang,,
2-plass-1.mp4,2. plass 1,,,2. plass,,
2-plass-2.mp4,2. plass 2,,,2. plass,,
2-server.mp4,2. server,,,2. server,,
20.mp4,20,,,20,20,M518x509S11802491x494S21600482x491
20.mp4,20,,,20,20,M535x508S10e02465x493S11802508x492
20.mp4,20,,,20,20,M515x517S11502485x502S22a04492x483
20.mp4,20,,,20,20,M545x508S11502455x492S11002518x492S26506492x494
20.mp4,20,,,20,20,M527x513S10e02473x488S22e04510x495
20.mp4,20,,,20,20,M541x509S11502459x492S26506495x493S11002514x494
20.mp4,20,,,20,20,M515x518S11502485x503S22a04492x483
20.mp4,20,,,20,20,M542x509S11502458x491S11002515x494S26506495x492
20.mp4,20,,,20,20,M515x518S11502485x503S22a04491x483
20.mp4,20,,,20,20,M542x508S11502458x492S11002515x493S26506494x492
,,,,200,200,M507x524S10e40492x494S26500493x475
,,,,200,200,M508x539S17610492x502S22a04493x524S10e00492x460
,,,,200,200,M509x542S11500492x459S17610492x492S22b04493x512
,,,,200,200,M508x525S10e50493x495S26500493x475
,,,,200,200,M508x542S11500493x459S17610492x493S22b04492x512
,,,,200,200,M508x524S10e50493x494S26500494x476
,,,,200,200,M509x542S11500494x458S17610493x492S22b04492x512
,,,,200,200,M509x542S11500493x458S17610493x492S22b04492x512
200-m.mp4,200 m,,,200 m,,
,,,,2000,2000,M543x515S17610490x499S10e00457x485S26606513x499
,,,,2001,2001,M555x516S17610477x497S10e00444x483S26606500x497S10000540x486
,,,,2008,2008,M561x520S10e00439x481S11e00538x480S17610467x503S26606493x504
21.mp4,21,,,21,21,M533x515S10000518x485S11802476x500S21600467x494
