Gloss,Signwriting,modified
parallell,M524x547S10048480x517S10040505x517S26700508x465S26710475x466S2fb00492x453,parallell
er der,M508x546S15a50494x453S10050493x516S22a04493x496S2f710494x485,er der
volum,M546x516S15418475x484S15410512x484S26506531x493S26512453x491S2f900535x511S2f900459x508,volum
hva heter du?,M538x548S2f900525x538S11500489x518S20600466x521S30300482x476S30a00482x487S10040523x503S33e00482x488S26500508x529,hva heter du
oslo,M532x583S34400468x482S34400496x482S17610493x530S2e400488x550,oslo
egg,M513x532S18110501x485S18118488x485S20500494x468S20500495x521,egg
ampere,M541x525S15d0a465x485S15d22460x476S20700469x508S1ec26522x482S22a04522x510,ampere
arkiv,M533x520S22f04503x480S20710499x497S15a02468x482S17d36471x497,arkiv
spare,M546x533S2ff00482x482S20e00523x515S18200490x518S26a00519x500,spare
bank,M521x521S15a00509x494S17d48480x504S20700485x479,bank
base,M514x530S15a48486x471S15a40502x469S26504495x515S21100496x499,base
melk,M526x535S20340511x517S20348474x520S21600478x506S21600513x502S22a04510x482S22a14476x487S2fd00485x465,melk
rød,M544x533S33b00482x482S10012514x513S26602471x504S21100494x519,rød
eureka!,M547x523S34900482x488S31a00482x487S30100482x477S1dc21517x487S22100518x473,eureka!
asimutkvantetallet,M535x569S1dc20478x431S1f110475x489S22104474x476S2f900490x478S14c0a464x546S10003480x521S20e00464x534S2d204502x498,asimutkvantetallet
angrepspunkt,M523x521S15a58478x479S10052493x482S20500496x502S2f900495x516,angrepspunkt
parallell,M524x547S10018480x517S10010505x517S26700508x465S26710475x466S2fb00492x453,parallell
uendelig,M525x539S15a02498x527S2b900489x488S2b900475x461,uendelig
mord,M536x528S36a00482x477S20500504x517S1f521514x498,mord
art,M518x530S14c38494x499S20500482x493S10004496x469,art
muslim,M557x632S15a30450x561S15a30542x561S30104484x477S37100479x533S22b04541x602S22b14448x599S2fb04490x626S37108470x533,muslim
forandre,M515x530S10031493x470S10059485x482S2a220490x503,forandre
tangent til sirkel,M519x534S2e30e481x466S22b03495x480S10050492x504,tangent til sirkel
skuldrene er vendt mot venstre,M521x505S36d01479x494,skuldrene er vendt mot venstre
aksesystem x y z,M514x515S12410487x485,aksesystem x y z
fradrag,M517x528S15a02484x473S22a04492x488S20e00492x472S18227500x503,fradrag
klubbe,M531x514S1ea40469x486S23004506x496,klubbe
iver,M514x524S15a48485x476S15a40502x476S21200486x510,iver
rett vinkel,M528x528S1dc28472x473S10041507x498S23b04493x472,rett vinkel
munn symbol,M518x517S33b00482x482,munn symbol
atom,M550x542S35b04482x482S32d00482x482S1f110521x518S2f900536x537,atom
senter,M515x523S15a16487x511S1c512484x478S20500505x497,senter
en,M507x515S10000492x485,en
mager,M518x587S35b04482x482S32c00482x482S19218480x534S2f900504x530S21100502x538S22b04494x557,mager
sentralfelt,M563x537S14c57537x463S14c5f438x464S18557502x509S1855f478x510S22b03514x487S22b15463x489,sentralfelt
adhesjon,M513x523S15a06486x489S15a20492x478S2f920493x512,adhesjon
radius i en sirkel,M536x530S10050500x495S10059464x495S20500491x479S2e402503x470S26502505x478S2f900466x525,radius i en sirkel
parabel,M541x540S1dc28458x475S10040486x510S2880a510x460S22b04525x477S22b00496x471,parabel
forskning,M532x601S11912507x539S1191a466x540S21800473x523S21800507x524S22b04511x563S22b14473x562S2fb04492x595S32104482x482,forskning
lengde,M560x509S1eb48440x490S1eb40471x490S26706502x490S2f900549x497,lengde
dette,M512x527S10004496x473S22f04487x513,dette
identitet,M515x546S10010492x499S10018485x507S20500505x535S26624493x467S26620484x453,identitet
atmosfære,M554x568S2ff00482x483S15a06448x502S15a02525x503S22114445x490S22114528x489S16c10500x547S2890a525x549,atmosfære
aluminium,M533x518S17d10510x502S17d18466x503S22120466x488S22120508x487S2fb00490x482,aluminium
blunke med høyre øye,M533x517S22104521x491S31400482x482,blunke med høyre øye
alvorlig,M518x539S2ff00482x482S22b04492x509S14710493x484,alvorlig
alfabet,M590x544S15020527x513S22520523x494S26606560x518S36d00479x525S2ff00480x482,alfabet
vinkel,M533x522S1ee18467x481S10041512x492S2880c496x478,vinkel
ion asl,M526x528S19205474x484S19201500x472S2e830507x496,ion asl
grunnlag,M523x514S15a16479x502S15a12477x486S20500512x490S2f900512x506,grunnlag
fredrikstad,M522x528S36d00479x473S20500474x489S20500512x490S15300471x503,fredrikstad
medlem,M525x523S20700507x506S17d48476x508S18252492x478,medlem
billig,M511x529S1ea40488x471S26b02490x502,billig
se ned på,M527x566S32104482x490S30154495x476S10e51497x541S22204487x553,se ned på
vinkel,M526x530S1dc29474x469S10041505x500S2880c507x473,vinkel
gausskurve,M543x532S2f804487x519S28a0a488x468S28807468x482S28805523x489S10050458x502,gausskurve
se ned på,M528x562S32104482x490S30350496x475S10e51498x537S22204489x549,se ned på
jul,M526x535S10039475x504S10031505x505S28c18479x465S28c00502x465,jul
variabel,M544x539S15a30478x462S15a30504x462S23600505x500S23614455x499S2fb04491x521S2f804481x528,variabel
arv,M513x527S15050487x472S26504492x512,arv
hei,M576x518S14c20531x487S33e00482x482S26506561x502,hei
veie,M531x536S15a30504x464S15a38478x465S23100505x501S23110469x503S2fc04492x525,veie
hvem ?,M523x549S30004482x482S11500489x519S20500513x517S30c00482x482,hvem
akse,M548x520S1dc28453x479S10610473x494S26706506x491S20e00491x494,akse
ikke?,M544x575S30a00482x482S14c01496x548S14c07475x546S20e00494x533S26606514x532S26612453x531,ikke
femkant,M539x555S14c00492x446S15a58462x527S15a50527x528S23a04512x480S23a1c464x479,femkant
kontakt under haken,M518x532S2ff00482x482S20500494x521,kontakt under haken
brød,M519x521S15a06480x509S15a44484x490S21100504x479S2b700500x497,brød
spisevegring,M584x610S33b00474x434S1eb07498x469S2f900569x571S30304477x520S35000477x531S37401482x569S15a28532x583S15a20541x575S26627562x553S22f01512x492,spisevegring
fregner,M553x518S15302487x485S33100482x483S26a04526x495,fregner
"der er det, til høyre",M549x554S32407482x482S10047519x524S2f900523x549,"der er det, til høyre"
frekvens,M535x519S15a30464x481S23404484x505S26706493x490,frekvens
begrep,M588x518S30007482x483S20310522x481S14c20565x434S28103544x461,begrep
ellipse,M527x532S10050512x502S22a06493x491S22a02487x467S28800510x471S28804473x476,ellipse
tre,M523x538S14c10480x461S37800491x493S15a1a476x526S2e200503x490,tre
"matematikk, tysk ts",M543x601S33b00466x482S14c00514x548S34c00498x482S23604504x584S23614452x583S22130506x538S22130507x533S22130458x537S22130458x532S2fb04490x573S14c08461x546,"matematikk, tysk ts"
aluminium,M517x542S1f720484x457S22a04491x476S10049482x512S10041496x512S20b00492x496,aluminium
rektangel,M587x514S1ee28473x492S1ee20503x491S26506537x498S26512448x498S1f428412x499S1f420558x498S22104427x486S22104559x485,rektangel
kraft,M507x525S20300492x485S37700499x500S2f900494x474,kraft
