Filename,Gloss,Description,Comment
A.mp4,A,,
A-2.mp4,A (tohåndsalfabet),,
a-tak.mp4,a-tak (byggfag),,
a-takstol-1.mp4,a-takstol (byggfag) 1,,
a-takstol-2.mp4,a-takstol (byggfag) 2,,
abdisere-1.mp4,abdisere 1,,
abdisere-2.mp4,abdisere 2,,
abonnere.mp4,abonnere,Gammel,
abort.mp4,abort,,
abraham-bibelsk-person.mp4,Abraham (bibelsk person),,
absolutt-1.mp4,absolutt 1,,
absolutt-2.mp4,absolutt 2,,
abstinens.mp4,abstinens,,
abstrakt.mp4,abstrakt,,
actionkamera.mp4,actionkamera,,
addisjon.mp4,addisjon,,
adel.mp4,adel,,
adferd-atferd.mp4,adferd/atferd,,
adgang.mp4,adgang,,
adhd.mp4,ADHD,,
adjektiv.mp4,adjektiv,,
administrasjon.mp4,administrasjon,,
administrere.mp4,administrere,,
adobe-after-effects.mp4,Adobe After Effects (programvare),,
adobe-illustrator-1.mp4,Adobe Illustrator (programvare) 1,,
adobe-illustrator-2.mp4,Adobe Illustrator (programvare) 2,,
adobe-indesign-1.mp4,Adobe InDesign (programvare) 1,,
adobe-indesign-2.mp4,Adobe InDesign (programvare) 2,,
adobe-photoshop.mp4,Adobe Photoshop (programvare),,
adobe-premiere.mp4,Adobe Premiere (programvare),,
adopsjon.mp4,adopsjon,,
adresse.mp4,adresse,,
advare.mp4,advare,,
advarsel.mp4,advarsel,,
advent.mp4,advent,,
adventister.mp4,adventister ,,
adventskalender.mp4,adventskalender,,
adverb.mp4,adverb,,
advokat.mp4,advokat,,
advokatfullmektig.mp4,advokatfullmektig,,
afghanistan-1.mp4,Afghanistan 1,,
afghanistan-2.mp4,Afghanistan 2,,
afrika-1.mp4,Afrika 1,,
afrika-2.mp4,Afrika 2,,
afrika-3.mp4,Afrika 3,,
aften.mp4,aften,,
aftenposten.mp4,Aftenposten,,
aftensmat.mp4,aftensmat,,
aggresjon-1.mp4,aggresjon 1,,
aggresjon-2.mp4,aggresjon 2,,
agility-1.mp4,agility,,
agnostiker.mp4,agnostiker ,,
agurk.mp4,agurk 1,,
agurk-2.mp4,agurk 2,,
aha.mp4,aha,,
akademi.mp4,akademi,,
ake.mp4,ake,,
akebrett.mp4,akebrett,,
akershus.mp4,Akershus,,
akevitt.mp4,akevitt,,
akkaplate.mp4,akkaplate,,
akkord.mp4,akkord,,
akkreditering.mp4,akkreditering,,
akkurat.mp4,akkurat,,
akse-1.mp4,akse 1,,
akse-2.mp4,akse 2,,
aksel.mp4,aksel,,
akseptere-1.mp4,akseptere 1,,
akseptere-2.mp4,akseptere 2,,
aksje.mp4,aksje,,
aksjeselskap.mp4,aksjeselskap,,
aksjon.mp4,aksjon,,
akson-nervecelle.mp4,akson (nervecelle),,
akt-teater.mp4,akt (teater),,
aktfotografering.mp4,aktfotografering,,
aktiv.mp4,aktiv,,
aktiva.mp4,aktiva,,
aktivisere.mp4,aktivisere,,
aktivitet.mp4,aktivitet,,
aktor.mp4,aktor 1,,
aktor-2.mp4,aktor 2,,
aktsom-1.mp4,aktsom 1,,
aktsom-2.mp4,aktsom 2,,
aktuell-e.mp4,aktuell/-e,,
akupunktur.mp4,akupunktur,,
akutt.mp4,akutt 1,,
akutt-2.mp4,akutt 2,,
alarm.mp4,alarm,,
albania.mp4,Albania,,
albino.mp4,albino,,
album.mp4,album,,
alder.mp4,alder,,
aldershjem.mp4,aldershjem,,
aldri.mp4,aldri 1,,
aldri-2.mp4,aldri 2,,
aleksander.mp4,Aleksander ,,
alene.mp4,alene,,
alf.mp4,Alf,,
alfabet.mp4,alfabet,,
alge.mp4,alge,,
algerie.mp4,Algerie,,
alkohol.mp4,alkohol,,
alkoholfri.mp4,alkoholfri,,
all-events-bowling.mp4,all events (bowling),,
allah.mp4,Allah,,
alle.mp4,alle,,
alle-sammen.mp4,alle sammen,,
allehelgensdag.mp4,allehelgensdag ,,
allel.mp4,allel (gen),,
allerede.mp4,allerede,,
allergi.mp4,allergi,,
allmennfag.mp4,allmennfag,,
allround-skoeyting.mp4,allround (skøyting),,
alltid.mp4,alltid,,
almanakk.mp4,almanakk,,
alminnelig.mp4,alminnelig,,
alpint.mp4,alpint,,
alt.mp4,alt,,
alta.mp4,Alta,,
altan.mp4,altan,,
alternativ.mp4,alternativ 1,,
alternativ-2.mp4,alternativ 2,,
altsaa-1.mp4,altså 1,,
altsaa-2.mp4,altså 2,,
aluminium.mp4,aluminium,,
alvorlig.mp4,alvorlig,,
amatoer.mp4,amatør,,
ambassadoer.mp4,ambassadør,,
ambisjon.mp4,ambisjon,,
ambivalent.mp4,ambivalent,,
ambulanse.mp4,ambulanse 1,,
ambulanse-2.mp4,ambulanse 2,,
ambulanse-3.mp4,ambulanse 3,,
amen.mp4,amen,,
americano.mp4,americano (kaffedrikk),,
amerika-1.mp4,Amerika 1,,
amerika-2.mp4,Amerika 2,,
amerikaner.mp4,amerikaner,,
amerikansk.mp4,amerikansk,,
amfetamin.mp4,amfetamin,,
amme.mp4,amme,,
ampere.mp4,ampere 1,,
ampere-2.mp4,ampere 2,,
amputere.mp4,amputere,,
amsterdam.mp4,Amsterdam,,
analog-2.mp4,analog,,
analyse.mp4,analyse,,
ananas.mp4,ananas 1,,
ananas-2.mp4,ananas 2,,
ananas-3.mp4,ananas 3,,
anatomi.mp4,anatomi,,
ANB.mp4,ANB (Avisenes Nyhetsbyrå),,
anbefale.mp4,anbefale,,
anbud-2.mp4,anbud,,
and.mp4,and,,
and-gaar.mp4,and går,,
and-svoemmer.mp4,and svømmer,,
andakt.mp4,andakt,,
Andebu.mp4,Andebu,,
andel.mp4,andel,,
anders.mp4,Anders,,
andpusten.mp4,andpusten,,
andre.mp4,andre,,
andre-for-det-andre-1.mp4,andre: for det andre 1,,
andre-for-det-andre-2.mp4,andre: for det andre 2,,
andreas.mp4,Andreas 1,,
andreas-2.mp4,Andreas 2,,
andreas-christian-moeller.mp4,Andreas Christian Møller ,Andreas Christian Møller stiftet i 1825 den første døveskolen i Norge. Skolen lå i Trondheim. ,
android.mp4,Android (operativsystem),,
anelse.mp4,anelse,,
anestesisykepleier.mp4,anestesisykepleier,,
anfall.mp4,anfall,,
angre.mp4,angre,,
angrep.mp4,angrep,,
angripe.mp4,angripe 1,,
angripe-2.mp4,angripe 2,,
angst.mp4,angst 1,,
angst-2.mp4,angst 2,,
angstanfall.mp4,angstanfall,,
animasjon-1.mp4,animasjon 1,,
animasjon-2.mp4,animasjon 2,,
animatoer.mp4,animatør,,
anke.mp4,anke,,
vrikke-over-1.mp4,ankelforstuing,,
anker.mp4,anker,,
ankeutvalg.mp4,ankeutvalg,,
anmelde.mp4,anmelde 1,,
anmelde-2.mp4,anmelde 2,,
anmeldelse.mp4,anmeldelse 1,,
anmeldelse-2.mp4,anmeldelse 2,,
anne-3.mp4,Anne 1,,
anne-1.mp4,Anne 2,,
anne-2.mp4,Anne 3,,
anne-kari.mp4,Anne-Kari,,
annen-annet.mp4,annen/annet,,
annerledes.mp4,annerledes,,
annonse-1.mp4,annonse 1,,
annonse-2.mp4,annonse 2,,
anonym.mp4,anonym 1,,
anonym-2.mp4,anonym 2,,
anonym-3.mp4,anonym 3,,
anorakk.mp4,anorakk,,
anoreksi.mp4,anoreksi,,
ansats-bowling.mp4,ansats (bowling),,
ansatt.mp4,ansatt,,
ansatte.mp4,ansatte,,
ansette.mp4,ansette,,
ansikt.mp4,ansikt,,
anstendig.mp4,anstendig,,
angstrengelsesastma.mp4,anstrengelsesastma,,
ansvar.mp4,ansvar,,
ansvarlig.mp4,ansvarlig,,
antall.mp4,antall,,
antenne.mp4,antenne,,
antenne-2.mp4,antenne (tenne på),,
antibac-1.mp4,antibac 1,,
antibac-2.mp4,antibac 2,,
antibiotika.mp4,antibiotika,,
antidepressiva.mp4,antidepressiva,,
antikken.mp4,antikken,,
antimaterie.mp4,antimaterie,,
antisemittisme.mp4,antisemittisme,,
antistoff.mp4,antistoff,,
antyde.mp4,antyde,,
ape-1.mp4,ape 1,,
ape-2.mp4,ape 2,,
ape-3.mp4,ape 3,,
ape-profil.mp4,ape: profil,,
apokryfer.mp4,apokryfe,,
apollo.mp4,Apollo (romfartøy),,
apostel-1.mp4,apostel 1,,
apostel-2.mp4,apostel 2,,
apostel.mp4,apostel 3,,
apotek.mp4,apotek,,
app.mp4,app (applikasjon) 1,,
app-2.mp4,app (applikasjon) 2,,
apparat-1.mp4,apparat 1,,
apparat-2.mp4,apparat 2,,
appelsin.mp4,appelsin,,
appelsinjuice.mp4,appelsinjuice,,
appetitt.mp4,appetitt,,
applaus.mp4,applaus,,
april.mp4,april,,
arabia.mp4,Arabia,,
arabisk-1.mp4,arabisk 1,,
arabisk-2.mp4,arabisk 2,,
arabisk-3.mp4,arabisk 3,,
arbeid.mp4,arbeid,,
arbeide.mp4,arbeide,,
