Filename,Gloss,Description,Comment
M2_01805_02105.mp4,,,Hvor er ørene? De er borte. AHA. Der er de. Så små.
M2_53173_53394.mp4,,,"Mannen sitter og drikker kaffe, da piken kommer gående mot bordet."
M1_01266_01366.mp4,,,Min alder er 27 år.
M1_80456_80577.mp4,,,Alle spiser ute og ser på bålet.
M2_44119_44394.mp4,,,"A: Jeg synes alt her er kjempegodt jeg.? B: Jeg liker bare noe av det. A: Du må øve deg på å smake på forskjellige matvarer. Etterhvert vil du merke at de blir bedre og bedre. Og når du blir stor, kommer du til å synes at alt er kjempegodt."
M2_68154_68460.mp4,,,"Det der er en and. Nå er det vår, og endene går i flokk og spiser den maten de finner."
M2_68459_68719.mp4,,,I vanndammen svømmer endene. Den lange halsen gjør at de er i stand til å dukke under vann og finne mat.
M2_68737_68853.mp4,,,To ender svømmer om kapp.
M2_68154_68460.mp4,,,"Beskriver gangen til fugler med brede føtter, som gjess og ender. Se også ""gå (labbe)""."
M2_68459_68719.mp4,,,I vanndammen svømmer endene. Den lange halsen gjør at de er i stand til å dukke under vann og finne mat.
M1_02398_02606.mp4,,,Her er Andebu. Der ligger Andebu kompetansesenter.
M1_20414_20642.mp4,,,"Nå er det andre del, som er om en mann og dame som skal gå på fest."
M1_64225_64579.mp4,,,"Der har vi to forskjellige. Den første, den lille, er en barnefilm. Den andre, den store, er en komediefilm."
M1_65723_65984.mp4,,,"Den andre er sommeren med juni, juli og august."
M2_07919_08187.mp4,,,"For det første er det jakke, for det andre er det bukse og for det tredje er det genser."
M1_86744_87561.mp4,,,"Søndag den 6. januar ville jeg på skitur. Jeg hadde på meg en tykk genser og en rød anorakk med pels på hetta. I sekken hadde jeg matpakke, appelsin, sjokoladeplate og en termos med kakao.  Jeg gikk ut på ski og koste meg med maten."
M1_25828_26231.mp4,,,Nå skal jeg tegne ansikt. Tre ansikter. Se!
M1_32182_32397.mp4,,,"Bra, nå er vi ferdig med tre ansikt. Hva med klær til dem?"
M2_21469_21778.mp4,,,Hvem er det? Dette er en ape. Se på profilen hans.
M2_29783_30140.mp4,,,"Hmm, det er mye forskjellig i hyllene her. Se foreksempel på denne apen her. Den har myk pels, men kroppen er kanskje litt for hard."
M2_30149_30440.mp4,,,Eller vi kan se på (viser aktivitet og finner frem nye kosedyr). Disse er også aper. Denne har tykk pels.
M2_21469_21778.mp4,,,Hvem er det? Dette er en ape. Se på profilen hans.
M2_21469_21778.mp4,,,Hvem er det? Det er en ape. Se på profilen hans.
M1_86744_87561.mp4,,,"Søndag den 6. januar ville jeg på skitur. Jeg hadde på meg en tykk genser og en rød anorakk med pels på hetta. I sekken hadde jeg matpakke, appelsin, sjokoladeplate og en termos med kakao.  Jeg gikk ut på ski og koste meg med maten."
M1_88140_88405.mp4,,,"Matpakke, sjokolade, appelsin og en termos med kakao."
M1_65422_65708.mp4,,,"Den første er våren med månedene mars, april og mai."
M1_08137_08295.mp4,,,A: Hva arbeider du med? B: Jeg er vaskedame. A: Vaskedame? Javel.
M1_65723_65984.mp4,,,"Den andre er sommeren med juni, juli og august."
M2_36445_36690.mp4,,,A: Vær så snill å gå inn på badet og vask hendene og ansiktet og gre håret ditt? B: (Nikker.)
M1_15067_15289.mp4,,,Her er forskjellige klær. Både for menn og damer.
M1_81929_82429.mp4,,,Torsdag 4. juli slappet jeg av på badestranden. Jeg hadde på meg en blå bikini. Jeg solte meg. Det var varmt. Det luktet sommer.
M2_71969_72220.mp4,,,Ei hvit gås er lei og går bak et hus.
M1_24874_25141.mp4,,,"A: Skal du bake? B: Ja, jeg har tenkt å bake kake. A: Hva da? B: Sjokolade... (blir avbrutt) A: Får jeg smake i morgen? Jeg har lyst. 3: Husk å ta den med!"
M1_81619_81801.mp4,,,Spiser ute og ser på bålet.
M1_80456_80577.mp4,,,Alle spiser ute og ser på bålet.
M2_05261_05380.mp4,,,"Hvem er det her? Jo, det er bamse."
M2_07145_07290.mp4,,,Er bamsen myk eller hard?
M2_33360_33608.mp4,,,"A: Se, vi har en liten bamse.? B: Wow, den er pen."
M1_53974_54022.mp4,,,Har de barn?
M1_54093_54198.mp4,,,De har to barn. Er det gutter eller jenter?
M1_54335_54644.mp4,,,Har bestefar og bestemor på farsiden barnebarn?
M1_54335_54644.mp4,,,Har bestefar og bestemor på farsiden barnebarn?
M1_54750_54812.mp4,,,"Ja, de har fem barnebarn."
M1_64225_64579.mp4,,,"Der har vi to forskjellige. Den første, den lille, er en barnefilm. Den andre, den store, er en komediefilm."
M1_49462_49565.mp4,,,"Der er en gammel mann med bart, svart bart."
M2_44243_44354.mp4,,,Du må øve deg på å smake på forskjellige matvarer. Det blir bedre og bedre etterhvert.
M1_62350_62462.mp4,,,A: Riktig! Prøv selv. Behagelig.? B: Ja!
M1_62615_62847.mp4,,,"Jeg har en blyant, en lang en. Ja, den ja. Den er behagelig å skrive med den."
M1_03085_03425.mp4,,,Her er Bergen. Der ligger Vestlandet kompetansesenter.
M2_37386_37562.mp4,,,A: Har du lyst til å spise brød eller knekkebrød? B: Jeg liker best brød.
M2_57119_57396.mp4,,,Du må begynne med matpakken. Det er best å ta med for å unngå å bli sulten.
M2_43561_43721.mp4,,,"A: Majones, liker du majones? B: Ja, men aller best leverpostei, eller den der (peker på brunosten)."
M1_54335_54644.mp4,,,Har bestefar og bestemor på farsiden barnebarn?
M1_55172_55420.mp4,,,Har bestefar og bestemor på mors side barnebarn?
M2_42196_42387.mp4,,,A: Jeg kan hjelpe deg å lage matpakke.? B: Ja. A: Hva vil du ha på? Du bestemmer selv.
M1_54335_54644.mp4,,,Har bestefar og bestemor på farsiden barnebarn?
M1_55172_55420.mp4,,,Har bestefar og bestemor på mors side barnebarn?
M2_35496_35601.mp4,,,Skal vi gå så du får betalt?
