2025-11-10 12:11:47,425 - INFO - Starting video scraping process
2025-11-10 12:11:47,426 - INFO - Fetching XML data from: https://www.minetegn.no/tegnordbok/xml/tegnordbok.php
2025-11-10 12:11:48,383 - INFO - XML data fetched successfully. Size: 1103933 bytes
2025-11-10 12:11:48,440 - INFO - Found 10171 video filenames
2025-11-10 12:11:48,441 - INFO - Starting parallel download of 10171 videos using 8 workers
2025-11-10 12:11:49,955 - INFO - Downloaded A.mp4 (210,909 bytes)
2025-11-10 12:11:52,071 - INFO - Downloaded abdisere-1.mp4 (289,903 bytes)
2025-11-10 12:11:52,081 - INFO - Downloaded abdisere-2.mp4 (324,023 bytes)
2025-11-10 12:11:52,985 - INFO - Downloaded abonnere.mp4 (309,087 bytes)
2025-11-10 12:11:53,061 - INFO - Downloaded A-2.mp4 (246,346 bytes)
2025-11-10 12:11:53,097 - INFO - Downloaded a-takstol-1.mp4 (344,339 bytes)
2025-11-10 12:11:53,160 - INFO - Downloaded a-takstol-2.mp4 (362,605 bytes)
2025-11-10 12:11:53,170 - INFO - Downloaded a-tak.mp4 (347,990 bytes)
2025-11-10 12:12:04,881 - INFO - Downloaded abort.mp4 (255,268 bytes)
2025-11-10 12:12:11,393 - INFO - Downloaded abraham-bibelsk-person.mp4 (278,971 bytes)
2025-11-10 12:12:12,427 - INFO - Downloaded absolutt-2.mp4 (346,278 bytes)
2025-11-10 12:12:12,555 - INFO - Downloaded absolutt-1.mp4 (317,527 bytes)
2025-11-10 12:12:12,565 - INFO - Downloaded abstrakt.mp4 (292,072 bytes)
2025-11-10 12:12:12,587 - INFO - Downloaded addisjon.mp4 (304,830 bytes)
2025-11-10 12:12:13,293 - INFO - Downloaded abstinens.mp4 (384,386 bytes)
2025-11-10 12:12:13,342 - INFO - Downloaded actionkamera.mp4 (433,159 bytes)
2025-11-10 12:12:13,616 - INFO - Downloaded adel.mp4 (351,067 bytes)
2025-11-10 12:12:15,922 - INFO - Downloaded adferd-atferd.mp4 (231,206 bytes)
2025-11-10 12:12:17,131 - INFO - Downloaded adjektiv.mp4 (213,504 bytes)
2025-11-10 12:12:17,217 - INFO - Downloaded administrasjon.mp4 (323,994 bytes)
2025-11-10 12:12:18,310 - INFO - Downloaded administrere.mp4 (322,701 bytes)
2025-11-10 12:12:18,343 - INFO - Downloaded adhd.mp4 (299,074 bytes)
2025-11-10 12:12:18,343 - INFO - Downloaded adgang.mp4 (302,283 bytes)
2025-11-10 12:12:19,364 - INFO - Downloaded adobe-after-effects.mp4 (415,539 bytes)
2025-11-10 12:12:22,786 - INFO - Downloaded adobe-illustrator-2.mp4 (322,210 bytes)
2025-11-10 12:12:22,859 - INFO - Downloaded adobe-indesign-2.mp4 (313,338 bytes)
2025-11-10 12:12:22,989 - INFO - Downloaded adobe-indesign-1.mp4 (361,487 bytes)
2025-11-10 12:12:23,111 - INFO - Downloaded adobe-illustrator-1.mp4 (337,722 bytes)
2025-11-10 12:12:23,425 - INFO - Downloaded adobe-photoshop.mp4 (435,830 bytes)
2025-11-10 12:12:23,449 - INFO - Downloaded adopsjon.mp4 (333,727 bytes)
2025-11-10 12:12:23,563 - INFO - Downloaded adresse.mp4 (361,563 bytes)
2025-11-10 12:12:23,819 - INFO - Downloaded adobe-premiere.mp4 (422,491 bytes)
2025-11-10 12:12:23,966 - INFO - Downloaded advarsel.mp4 (244,702 bytes)
2025-11-10 12:12:23,997 - INFO - Downloaded advare.mp4 (367,026 bytes)
2025-11-10 12:12:24,491 - INFO - Downloaded advent.mp4 (290,588 bytes)
2025-11-10 12:12:24,648 - INFO - Downloaded adventskalender.mp4 (342,955 bytes)
2025-11-10 12:12:24,689 - INFO - Downloaded adventister.mp4 (300,670 bytes)
2025-11-10 12:12:25,492 - INFO - Downloaded adverb.mp4 (335,829 bytes)
2025-11-10 12:12:25,799 - INFO - Downloaded advokat.mp4 (311,200 bytes)
2025-11-10 12:12:25,826 - INFO - Downloaded afghanistan-2.mp4 (352,764 bytes)
2025-11-10 12:12:25,827 - INFO - Downloaded afghanistan-1.mp4 (374,130 bytes)
2025-11-10 12:12:26,138 - INFO - Downloaded advokatfullmektig.mp4 (406,049 bytes)
2025-11-10 12:12:26,381 - INFO - Downloaded afrika-3.mp4 (345,908 bytes)
2025-11-10 12:12:26,548 - INFO - Downloaded afrika-2.mp4 (356,238 bytes)
2025-11-10 12:12:26,750 - INFO - Downloaded afrika-1.mp4 (389,403 bytes)
2025-11-10 12:12:26,908 - INFO - Downloaded aften.mp4 (318,867 bytes)
2025-11-10 12:12:27,444 - INFO - Downloaded aftenposten.mp4 (337,258 bytes)
2025-11-10 12:12:27,521 - INFO - Downloaded aftensmat.mp4 (255,966 bytes)
2025-11-10 12:12:27,600 - INFO - Downloaded aggresjon-1.mp4 (270,471 bytes)
2025-11-10 12:12:28,313 - INFO - Downloaded agnostiker.mp4 (289,492 bytes)
2025-11-10 12:12:28,472 - INFO - Downloaded aggresjon-2.mp4 (303,092 bytes)
2025-11-10 12:12:28,756 - INFO - Downloaded agility-1.mp4 (275,780 bytes)
2025-11-10 12:12:29,119 - INFO - Downloaded agurk.mp4 (359,954 bytes)
2025-11-10 12:12:29,449 - INFO - Downloaded agurk-2.mp4 (327,501 bytes)
2025-11-10 12:12:29,553 - INFO - Downloaded aha.mp4 (332,998 bytes)
2025-11-10 12:12:29,558 - INFO - Downloaded akademi.mp4 (290,574 bytes)
2025-11-10 12:12:30,117 - INFO - Downloaded ake.mp4 (240,397 bytes)
2025-11-10 12:12:30,339 - INFO - Downloaded akebrett.mp4 (356,710 bytes)
2025-11-10 12:12:30,846 - INFO - Downloaded akershus.mp4 (344,850 bytes)
2025-11-10 12:12:31,066 - INFO - Downloaded akevitt.mp4 (247,387 bytes)
2025-11-10 12:12:31,126 - INFO - Downloaded akkord.mp4 (233,899 bytes)
2025-11-10 12:12:31,412 - INFO - Downloaded akkreditering.mp4 (253,016 bytes)
2025-11-10 12:12:31,592 - INFO - Downloaded akkurat.mp4 (311,614 bytes)
2025-11-10 12:12:31,683 - INFO - Downloaded akkaplate.mp4 (385,429 bytes)
2025-11-10 12:12:32,268 - INFO - Downloaded akse-1.mp4 (334,751 bytes)
2025-11-10 12:12:32,316 - INFO - Downloaded akse-2.mp4 (262,681 bytes)
2025-11-10 12:12:32,646 - INFO - Downloaded aksel.mp4 (281,193 bytes)
2025-11-10 12:12:32,890 - INFO - Downloaded akseptere-1.mp4 (282,192 bytes)
2025-11-10 12:12:32,912 - INFO - Downloaded akseptere-2.mp4 (312,313 bytes)
2025-11-10 12:12:32,970 - INFO - Downloaded aksje.mp4 (293,399 bytes)
2025-11-10 12:12:33,546 - INFO - Downloaded aksjeselskap.mp4 (439,230 bytes)
2025-11-10 12:12:33,714 - INFO - Downloaded aksjon.mp4 (320,899 bytes)
2025-11-10 12:12:34,236 - INFO - Downloaded akson-nervecelle.mp4 (251,636 bytes)
2025-11-10 12:12:34,266 - INFO - Downloaded akt-teater.mp4 (365,112 bytes)
2025-11-10 12:12:34,317 - INFO - Downloaded aktfotografering.mp4 (341,551 bytes)
2025-11-10 12:12:34,413 - INFO - Downloaded aktiv.mp4 (335,751 bytes)
2025-11-10 12:12:34,632 - INFO - Downloaded M2_53173_53394.mp4 (1,513,724 bytes)
2025-11-10 12:12:34,672 - INFO - Downloaded aktiva.mp4 (311,249 bytes)
2025-11-10 12:12:34,833 - INFO - Downloaded M2_01805_02105.mp4 (1,988,595 bytes)
2025-11-10 12:12:34,835 - INFO - Downloaded aktivisere.mp4 (275,559 bytes)
2025-11-10 12:12:35,263 - INFO - Downloaded aktor-2.mp4 (198,119 bytes)
2025-11-10 12:12:35,401 - INFO - Downloaded aktor.mp4 (355,865 bytes)
2025-11-10 12:12:35,422 - INFO - Downloaded aktsom-1.mp4 (234,344 bytes)
2025-11-10 12:12:35,436 - INFO - Downloaded aktivitet.mp4 (288,672 bytes)
2025-11-10 12:12:35,887 - INFO - Downloaded aktsom-2.mp4 (207,773 bytes)
2025-11-10 12:12:35,969 - INFO - Downloaded aktuell-e.mp4 (292,360 bytes)
2025-11-10 12:12:36,120 - INFO - Downloaded akutt.mp4 (266,237 bytes)
2025-11-10 12:12:36,124 - INFO - Downloaded akupunktur.mp4 (391,430 bytes)
2025-11-10 12:12:36,773 - INFO - Downloaded albino.mp4 (296,256 bytes)
2025-11-10 12:12:36,774 - INFO - Downloaded akutt-2.mp4 (275,907 bytes)
2025-11-10 12:12:36,876 - INFO - Downloaded albania.mp4 (358,275 bytes)
2025-11-10 12:12:36,885 - INFO - Downloaded alarm.mp4 (375,077 bytes)
2025-11-10 12:12:37,059 - INFO - Downloaded alder.mp4 (250,356 bytes)
2025-11-10 12:12:37,698 - INFO - Downloaded aldershjem.mp4 (308,551 bytes)
2025-11-10 12:12:37,809 - INFO - Downloaded album.mp4 (339,495 bytes)
2025-11-10 12:12:38,042 - INFO - Downloaded aleksander.mp4 (274,410 bytes)
2025-11-10 12:12:38,076 - INFO - Downloaded aldri.mp4 (215,976 bytes)
2025-11-10 12:12:38,115 - INFO - Downloaded alf.mp4 (187,747 bytes)
2025-11-10 12:12:38,173 - INFO - Downloaded M1_01266_01366.mp4 (675,156 bytes)
2025-11-10 12:12:38,308 - INFO - Downloaded alene.mp4 (429,364 bytes)
2025-11-10 12:12:38,378 - INFO - Downloaded aldri-2.mp4 (356,900 bytes)
2025-11-10 12:12:38,542 - INFO - Downloaded alfabet.mp4 (369,616 bytes)
2025-11-10 12:12:38,837 - INFO - Downloaded alge.mp4 (351,556 bytes)
