id,term,signwriting,description,cue
1,parallell,M524x547S10048480x517S10040505x517S26700508x465S26710475x466S2fb00492x453,,parallell
2,finnes,M508x546S15a50494x453S10050493x516S22a04493x496S2f710494x485,,finnes
3,volum,M546x516S15418475x484S15410512x484S26506531x493S26512453x491S2f900535x511S2f900459x508,rominnhold,volum
5,Oslo,M532x583S34400468x482S34400496x482S17610493x530S2e400488x550,offisielt tegn,oslo
6,egg,M513x532S18110501x485S18118488x485S20500494x468S20500495x521,,egg
7,Ampere,M541x525S15d0a465x485S15d22460x476S20700469x508S1ec26522x482S22a04522x510,En kjent fysiker som arbeidet med elektrisitet,ampere
8,arkiv,M533x520S22f04503x480S20710499x497S15a02468x482S17d36471x497,,arkiv
9,spare,M546x533S2ff00482x482S20e00523x515S18200490x518S26a00519x500,,spare
10,bank,M521x521S15a00509x494S17d48480x504S20700485x479,,bank
12,base,M514x530S15a48486x471S15a40502x469S26504495x515S21100496x499,Baser er glatte stoffer.,base
13,melk,M526x535S20340511x517S20348474x520S21600478x506S21600513x502S22a04510x482S22a14476x487S2fd00485x465,,melk
18,parallell,M524x547S10018480x517S10010505x517S26700508x465S26710475x466S2fb00492x453,,parallell
20,mord,M536x528S36a00482x477S20500504x517S1f521514x498,,mord
22,muslim,M557x632S15a30450x561S15a30542x561S30104484x477S37100479x533S22b04541x602S22b14448x599S2fb04490x626S37108470x533,,muslim
22,islam,M557x632S15a30450x561S15a30542x561S30104484x477S37100479x533S22b04541x602S22b14448x599S2fb04490x626S37108470x533,,islam
23,forandre,M515x530S10031493x470S10059485x482S2a220490x503,,forandre
23,endre,M515x530S10031493x470S10059485x482S2a220490x503,,endre
23,skifte,M515x530S10031493x470S10059485x482S2a220490x503,,skifte
27,fradrag,M517x528S15a02484x473S22a04492x488S20e00492x472S18227500x503,,fradrag
29,ivrig,M514x524S15a48485x476S15a40502x476S21200486x510,"stor lyst til å gjøre noe, Eng.: eager, eagerness",ivrig
32,atom,M550x542S35b04482x482S32d00482x482S1f110521x518S2f900536x537,bitte-lite,atom
33,sentrum,M515x523S15a16487x511S1c512484x478S20500505x497,,sentrum
34,en,M507x515S10000492x485,"artikkel, ubestemt",en
39,parabel,M541x540S1dc28458x475S10040486x510S2880a510x460S22b04525x477S22b00496x471,,parabel
40,forskning,M532x601S11912507x539S1191a466x540S21800473x523S21800507x524S22b04511x563S22b14473x562S2fb04492x595S32104482x482,,forskning
40,forske,M532x601S11912507x539S1191a466x540S21800473x523S21800507x524S22b04511x563S22b14473x562S2fb04492x595S32104482x482,,forske
41,lengde,M560x509S1eb48440x490S1eb40471x490S26706502x490S2f900549x497,måler ut lengde,lengde
42,dette,M512x527S10004496x473S22f04487x513,,dette
